id,tenant_id,first_name,last_name,full_name,email,phone,company_name,lead_source,lead_status,score,value,budget,assigned_to,owner_id,company_id,title,website,city,state,country,company_size,company_industry,lifecycle_stage,budget_currency,authority_level,need_description,timeline,utm_source,utm_medium,tags,is_archived,is_converted,converted_at,lead_oid,created_at,created_by
f7690682-bbbe-4b50-8827-13446f1787a1,6e2684b5-dd18-4549-8440-7276b577d2b5,Amy,Mitchell,Amy Mitchell,amymitchell@gmail.com,+12892533609,Bronze Gate Corp,trade_show,contacted,37,202191.17,262023.11,8e8f6232-b5f8-466d-98c1-6a9d8090c3eb,876017f1-7629-48e0-9ce9-20b44276c7d6,,,,Charlotte,IL,DE,51-200,Legal,lead,USD,unknown,,3-6_months,,,"['cold_lead', 'webinar_attendee', 'renewal']",False,False,,LD-2026-000001,2026-02-19T04:01:58.393194,6339ef1b-ca56-4fa5-9ddb-36a79ac9d12f
18ae9f96-0879-4234-954e-c92100dd263b,6e2684b5-dd18-4549-8440-7276b577d2b5,Dennis,Rogers,Dennis Rogers,dennisrogers@hotmail.com,+17135638107,GreenField Capital Inc,paid_ads,lost,5,257352.34,,d53e375b-e751-4c1c-9dd2-2c198336f144,d53e375b-e751-4c1c-9dd2-2c198336f144,,,,Raleigh,,US,11-50,Construction,lead,USD,unknown,,immediate,,social,['cold_lead'],True,False,,LD-2026-000002,2025-04-30T03:49:13.393313,7675c849-0f1f-4fa3-923c-f392ea4a2f35
a4f855ae-e3f0-4340-bdf7-2378f4acc014,6e2684b5-dd18-4549-8440-7276b577d2b5,Thomas,Rivera,Thomas Rivera,thomas.rivera@yahoo.com,,BlueShift Labs Ltd,partner,qualified,95,39615.97,,f26bd177-029d-4863-993c-dfebe5004897,eb9f903e-4cd4-462b-9c0c-0720da83cfc0,a874c397-8f2b-4d82-b0c3-28dcdbf592fd,Finance Manager,https://fusionanalytics.com,,,JP,11-50,Energy,lead,USD,unknown,,3-6_months,,,"['win_back', 'vip']",False,False,,LD-2026-000003,2025-10-01T00:53:15.393388,1f599b2d-4c19-4c7e-91e2-f8655b60b03d
a787f0be-196d-4ff2-be25-cf9f7b3c3112,6e2684b5-dd18-4549-8440-7276b577d2b5,Nicole,Baker,Nicole Baker,nicole_baker@gmail.com,,BlueShift Labs Corp,paid_ads,new,96,471295.55,,71030eb2-1621-4863-8e2d-b6184abb7f32,7223e10a-b124-4a7f-a342-f0f59020ba2f,,,https://amberindustries.com,San Antonio,NV,MX,11-50,Transportation,lead,USD,decision_maker,Looking to upgrade their CRM system,3-6_months,,,['vip'],False,False,,LD-2026-000004,2026-01-31T14:32:06.393447,8b51f21b-0da9-4139-8f04-0ef4187ce705
4636462c-598e-49f9-9172-5a2bbd5a54c8,6e2684b5-dd18-4549-8440-7276b577d2b5,Virginia,Mendoza,Virginia Mendoza,virginiamendoza@work.org,+17878721208,SwiftScale Corp,cold_call,lost,93,124338.09,238221.99,71030eb2-1621-4863-8e2d-b6184abb7f32,71030eb2-1621-4863-8e2d-b6184abb7f32,,,https://forgeindustries.com,,,IN,51-200,Agriculture,lead,USD,decision_maker,Want to automate marketing,1-3_months,linkedin,,['high_priority'],False,False,,LD-2026-000005,2026-02-27T17:32:11.393510,876017f1-7629-48e0-9ce9-20b44276c7d6
5db41869-3368-4ea4-b15c-a13f978c634c,6e2684b5-dd18-4549-8440-7276b577d2b5,Kelly,Thompson,Kelly Thompson,kellythompson16@hotmail.com,+13587642104,RedRock Ventures Ltd,content_marketing,new,3,369618.81,,8b51f21b-0da9-4139-8f04-0ef4187ce705,58f39eeb-75cb-4ef4-96ba-4a30c22a7a1e,127448fe-debe-47ea-b75b-ceb487ae2805,,,,,IN,201-500,Real Estate,lead,USD,influencer,Small business growth,immediate,,,"['at_risk', 'nurture', 'hot_lead']",False,False,,LD-2026-000006,2026-02-02T06:20:49.393804,8b51f21b-0da9-4139-8f04-0ef4187ce705
edb5da6c-109d-4242-b936-7d4d87aceb5b,6e2684b5-dd18-4549-8440-7276b577d2b5,Janet,Russell,Janet Russell,janet_russell75@work.org,,Quantum Dynamics Inc,demo_request,contacted,58,356175.18,,6339ef1b-ca56-4fa5-9ddb-36a79ac9d12f,6339ef1b-ca56-4fa5-9ddb-36a79ac9d12f,de4edcae-9b07-49d0-aa0a-2fe6914adee8,,,,CA,US,500+,Agriculture,lead,USD,gatekeeper,,exploring,,organic,[],False,False,,LD-2026-000007,2025-02-28T20:23:10.393862,1f599b2d-4c19-4c7e-91e2-f8655b60b03d
ef2a9e80-90fc-4274-8172-fd4fe992068f,6e2684b5-dd18-4549-8440-7276b577d2b5,Richard,Thompson,Richard Thompson,richard.thompson@gmail.com,,Silver Stream LLC,website,converted,96,251121.45,,876017f1-7629-48e0-9ce9-20b44276c7d6,63c904bb-37e1-42e9-b828-03d273915302,,Software Developer,,San Antonio,,GB,500+,Transportation,lead,USD,unknown,,exploring,linkedin,social,[],False,True,2026-08-01T21:31:41.393909,LD-2026-000008,2025-10-17T23:56:14.393919,876017f1-7629-48e0-9ce9-20b44276c7d6
b917ff75-8b1e-428c-b916-7a7ec2d76176,6e2684b5-dd18-4549-8440-7276b577d2b5,Donna,Graham,Donna Graham,donna_graham15@outlook.com,,Fusion Analytics Inc,word_of_mouth,unqualified,41,179110.49,,8b51f21b-0da9-4139-8f04-0ef4187ce705,63c904bb-37e1-42e9-b828-03d273915302,1529f048-a09b-4953-8f31-3363ef1d64b0,Strategist,,,,BR,51-200,Telecommunications,lead,USD,gatekeeper,,6-12_months,,,['at_risk'],False,False,,LD-2026-000009,2025-09-06T02:45:22.393955,58f39eeb-75cb-4ef4-96ba-4a30c22a7a1e
2f3b6cb7-43d4-4541-99d9-a497cdfaa3da,6e2684b5-dd18-4549-8440-7276b577d2b5,Laura,Stewart,Laura Stewart,laurastewart@company.com,+15909405551,RedRock Ventures LLC,other,contacted,43,10659.51,,13f891f6-02c5-48a2-bb4f-65f664be06a0,876017f1-7629-48e0-9ce9-20b44276c7d6,,,,,,BR,11-50,Hospitality,lead,USD,unknown,Data analytics platform,immediate,,,['bulk_order'],False,False,,LD-2026-000010,2025-12-11T00:21:01.393999,6339ef1b-ca56-4fa5-9ddb-36a79ac9d12f
6649c360-b6cf-4d98-8c7d-38ecc00ad590,6e2684b5-dd18-4549-8440-7276b577d2b5,Rachel,Hunt,Rachel Hunt,rachel_hunt@gmail.com,+14748823495,Zenith Partners Partners,referral,converted,5,291645.12,,1f599b2d-4c19-4c7e-91e2-f8655b60b03d,71030eb2-1621-4863-8e2d-b6184abb7f32,505377a0-7f5d-4cad-aa63-cf6dc70ea780,,https://opalsolutions.com,,TX,IN,51-200,Automotive,lead,USD,decision_maker,,immediate,,organic,['high_priority'],False,True,2026-06-16T06:22:38.394035,LD-2026-000011,2026-01-26T17:21:37.394044,63c904bb-37e1-42e9-b828-03d273915302
